Title,Artist,Album,URL,Card#,Year,Youtube-Title,Hashed Info
Hyvää yötä ja huomenta,Don Huonot,Onnenvarjot,https://www.youtube.com/watch?v=bKqX59vsQJk,1116,1997,Don Huonot - Hyvää yötä ja huomenta (Video),5d04e17a86fce71544b9907b7f87b7c52cbb78a385389389dd08fe0d5087622f
Your Woman,White Town,Women In Technology,https://www.youtube.com/watch?v=lVL-zZnD3VU,295,1997,White Town - Your Woman (Official HD Video),941a15ded28e94b54fc509d1207e233d8043406bf97546b862c9481171ce0037
Sinä Lähdit Pois,Ultra Bra,Kroketti,https://www.youtube.com/watch?v=lG19up8xP18,1117,1997,Ultra Bra - Sinä lähdit pois (1997),140780c701712f81641ef62a4a13acc78f7c57cc1f9ce01bce07585d0eba4a8c
Black Diamond,Stratovarius,Visions,https://www.youtube.com/watch?v=6vJ_zHe_p60,1119,1997,Black Diamond,1a05afbba2b24622a1fc71d9c46ca6e4d4bc9fd17c9b89935f826198ee5461a3
Todella kaunis,Zen Cafe,Idiootti,https://www.youtube.com/watch?v=3N9lyJoPQrA,1120,1998,Todella kaunis,9942466911e227570189f85175b334d9c88c5e500ff8929be7b9298ce7ed5188
Suomirokkia,Aknestik,Sata Vuotta Kaivossa,https://www.youtube.com/watch?v=XcqDoR3mJQ0,1121,1998,Aknestik - Suomirokkia,88d1c108c8cdee532ae8a7d70a7f583c443969c15ebcc73ed41e188a36f2b00b
Living Next Door to Alice,New World,Sister Jane,https://www.youtube.com/watch?v=os3mzI8LKBQ,617,1972,"New World ""Living Next Door To Alice"" - THE ORIGINAL (AND THE BEST?)",5540ad7ed6d9d0d588dfc04ea6a468aab7cd7fdefef1cafb3341a77377838bb5
Satumaa-tango,Maija Vilkkumaa,Pitkä ihana leikki,https://www.youtube.com/watch?v=zCLP7r2eiWo,1122,1999,Satumaa-tango,25315869236937f1abd25d6e43359ca226c58897101bb8e4defcfa4cd80a2a6d
Sandstorm,Darude,"Before the Storm, Special Edition",https://www.youtube.com/watch?v=7WTRWh3hOys,755,1999,Sandstorm,1867a6f7cd56b7ab1a385e14b0b0d76109666680bf5a0361e1c1b08db25813f5
Join Me In Death - Strongroom Mix,HIM,Uneasy Listening Vol.1,https://www.youtube.com/watch?v=yiNhaq4ZfL0,1123,1999,HIM - join me in death (Strongroom mix),cce48efa6ac0015f7fd38ca4adc6cb5620e5ebd84d0ae72e03f0700bfe0c7d8a
Kaikki Nuoret Tyypit,Tehosekoitin,Rock'n Roll Monster Movie Show,https://www.youtube.com/watch?v=a14i0kXI56w,1125,2000,Kaikki Nuoret Tyypit,5cecdf861287ef4c0a0054c0397796d5cfd1d2c15fed1f83c8a83dac0a4d8887
Lauren Caught My Eye,The Crash,Wildlife,https://www.youtube.com/watch?v=V55NewBzPJE,1126,2001,Lauren Caught My Eye,af114344bbdaadc2fa43a7b8034528fda260be7c5135eb58ab7a7118d23de0c3
Etsit Muijaa Seuraavaa,Gimmel,Lentoon,https://www.youtube.com/watch?v=9YrQydgWTXA,1127,2002,Gimmel - Etsit muijaa seuraavaa,185b9469f713b5f6b53e7ea32c1a45028ab4186ad514626ba037d8647cf8724b
Rusketusraidat,PMMP,Kuulkaas Enot!,https://www.youtube.com/watch?v=uW8m_w75vRs,1128,2003,PMMP - Rusketusraidat,f5f991a85adffec67f758f67efa2f26ac7058c098c6e84b958c8dd485bde9d36
Dragostea din tei,O-Zone,DiscO-Zone,https://www.youtube.com/watch?v=YnopHCL1Jk8,563,2003,O-Zone - Dragostea Din Tei [Official Video],777d355af42786f9708a42a03afde035af9c70a419194e6d7bc297f396aee20d
1972,Anssi Kela,Suuria Kuvioita,https://www.youtube.com/watch?v=A8Yahj2fUgA,1129,2003,Anssi Kela - 1972,d8b9f47161ebc85c8a648e5523f4e76213f581ef8590ebe389459ada272a4439
Nemo,Nightwish,Highest Hopes-The Best Of Nightwish,https://www.youtube.com/watch?v=kIBdpFJyFkc,1131,2004,Nightwish - Nemo [OFFICIAL VIDEO],65e27eba57e47f2445acbc9b4d71b06e761d673014306749c077c8cf99763d38
Perutaan häät,Anne Mattila,Perutaan häät,https://www.youtube.com/watch?v=o8XoixLCflQ,1133,2005,Perutaan häät,bb4fd393f27ab192c8b493a2512ae534f331b418fc6673f9115589741b159899
Hard Rock Hallelujah,Lordi,The Arockalypse,https://www.youtube.com/watch?v=6H4mJXcQaRU,1134,2006,Hard Rock Hallelujah,3c7ca83cc84b6ab8c7abb081780db3878bbf8bb7148769e07cf171c1095271ae
Mikä kesä?,Valvomo,Mikä kesä? / Single,https://www.youtube.com/watch?v=iCzz61uAPJ0,1135,2006,Valvomo - Mikä kesä?,ee6b54ab2c1a4ffc1f29daaa1f2555c3379b9b9aae9e58982c455cbae27a18a3
With Or Without You,U2,U218 Singles,https://www.youtube.com/watch?v=ujNeHIo7oTE,1031,1987,U2 - With Or Without You (Official Music Video),0b4b38f35fd86ad9faab7ec0dbd14265ce998044bbe56e4228e7c89073657f12
Pokka,Irina,Liiba Laaba,https://www.youtube.com/watch?v=LpPdSpYxo04,1136,2007,Irina - Pokka,d8fa2664b50e01a2829a56b47deca0f577d7dfe3b0950fa90d5e93b583f5c528
Ihmisten edessä,Jenni Vartiainen,Ihmisten edessä,https://www.youtube.com/watch?v=g7a5Ix5G_Dw,1138,2007,Ihmisten edessä,f5f991ccb707965d507248c49748ce107b2f4551e78ff21e856de95aacdbb77c
Che Guevara,Happoradio,Kaunis Minä,https://www.youtube.com/watch?v=Rdqzp03D-3Y,1139,2008,Happoradio - Che Guevara (Video),693c2cf16dc8333a1f9f4e4df89f7c9d8dc4580c69e43cad2e9c1575bd001a88
Baden-Baden,Chisu,Vapaa ja yksin,https://www.youtube.com/watch?v=Yu19IWuIArY,1140,2009,Chisu - Baden-Baden (Official video),7c2182ded65a12ea0550bb8ce5928253c404da29322cc6c6362d7b321f72ab9b
Vapaa,Kaija Koo,Irti,https://www.youtube.com/watch?v=6aVPVlKh0KA,1141,2010,Kaija Koo - Vapaa (OFFICIAL VIDEO),127ada5005e9f0dcdf049246b56f536b3e72d749e5c99ddf524764d0e5922152
Mikä boogie,Fintelligens,Mun tie tai maantie,https://www.youtube.com/watch?v=pFCJBhj6ooc,1142,2010,Fintelligens - Mikä Boogie,4bfcdc9e54835b931c011ee89cc71bacfe77c0c6fbedc378ea4c2beba4db35aa
Häissä (feat. Märkä-Simo),JVG,Mustaa kultaa,https://www.youtube.com/watch?v=TtyCl5M6YTA,1143,2011,Jare & VilleGalle - Häissä ft. Märkä-Simo [HD] + lyrics,dbc0724710f0ad0af4bc43707c1ca4384324299893f337d84f4de35a8d49ca06
Hollywood Hills,Sunrise Avenue,Out Of Style (Special Edition),https://www.youtube.com/watch?v=azPQZSlC2zk,1144,2011,Sunrise Avenue - Hollywood Hills (official),67a878562babf229fe8f5ae470fd26fdd6a94bc2ccb5a7abe6632f288aaf7574
Silkkii,Jukka Poika,Yhdestä puusta,https://www.youtube.com/watch?v=xxzjzHBZZok,1145,2011,Jukka Poika - Silkkii (OFFICIAL VIDEO),b416775acda77847d5b1a8b5f1121f3522fd5855fdbab63db7880c488ddfb00d
Pumped Up Kicks,Foster The People,Torches,https://www.youtube.com/watch?v=SDTZ7iX4vTQ,917,2010,Foster The People - Pumped Up Kicks (Official Video),633b2951701852067b75ed88618d090618bc8556de2510ad92672a39e54dd9b8
Mennyt mies,J. Karjalainen,Et ole yksin,https://www.youtube.com/watch?v=J0-CIhGuFL8,1147,2012,Mennyt mies,3c8ebcb5d9d7245092637607dcd45581cf3e8ba54e7abba7da9fbae235c949b6
Frontside Ollie,Robin Packalen,Koodi,https://www.youtube.com/watch?v=oNfwMepTuZ0,1148,2012,Robin - Frontside Ollie,59226992e2dfa90c1fecbe549fc1ac5289313a6d85bcf78f2deee0ce4bccdd86
Levikset repee (feat. VilleGalle),Sini Sabotage,22m²,https://www.youtube.com/watch?v=0n2eIz28luw,1150,2013,Levikset repee (feat. VilleGalle),7f6a6acd3b4a91a3a1fe961e59a6749028132350d80490d5db51c74b1d4dc4a3
Salil eka salil vika,Musta Barbaari,Salil eka salil vika,https://www.youtube.com/watch?v=tR20khy4bVY,1151,2013,"Musta barbaari  Salil eka, salil vika",d7138cab1886f83752b157e90087a6d7f14cb2ccfb7fc4cda6af1d7df0100026
Beibi,Haloo Helsinki!,Kiitos ei ole kirosana,https://www.youtube.com/watch?v=CyMpHXAjosA,1152,2014,Haloo Helsinki! - Beibi,420507372f02bb8763efd4681c0c8d184eee6064bf2f013ebf667d2c6f9fdddf
Maradona (kesä ´86),Teflon Brothers,Isänpäivä,https://www.youtube.com/watch?v=D7RGeatsycM,1153,2014,Teflon Brothers - Maradona (kesä '86) SANAT,9f43fa8a4025c39154f8cb8994e042f178c6d0b3d06a4f1b411faf5467492354
Roy Orbison,STIG,Roy Orbison,https://www.youtube.com/watch?v=OdkWwgTEqag,1154,2014,Stig - Roy Orbison (virallinen musiikkivideo),3a90d0c2c63fd9f4df1a5126b084bc43e10951bc6ec5af4ae82a3dc4d8781e31
Tequila,Vesala,Vesala,https://www.youtube.com/watch?v=7Koqo1UzBxI,1155,2015,Vesala - Tequila (virallinen musiikkivideo),0c404e3698597fa78ad9051659d0ecb40dcd6aef54ae86649384c572713db283
Peto on irti,Antti Tuisku,En kommentoi,https://www.youtube.com/watch?v=tk5IW-pYZk8,1156,2015,Peto on irti,093d8cf7a77628e05ff8ad1f1040315dfd377ecc23ea7bd6b2540c01479714b7
Kohta sataa,Pete Parkkonen,TOP 10,https://www.youtube.com/watch?v=L9ZbJrxloQ8,1157,2016,Pete Parkkonen - Kohta sataa (virallinen musiikkivideo),d1049ca252be2af761885108c81ee40119bc425c132fe02f978873a1299d0cd0
Honey,Evelina,24K,https://www.youtube.com/watch?v=_9BsMuaHP48,1158,2015,Honey,e8785d7e6ef16cb1b861096195a0533e0b64a1fd9da83857c66ba1230e426648
Leijonakuningas,Ellinoora,Villi lapsi,https://www.youtube.com/watch?v=bc5-6zT2iGY,1159,2016,Ellinoora - Leijonakuningas,22f39c5f4b44aadac5b3b00530233e24930f1b749ca28a417bb074b64ad371af
Chasing Highs,ALMA,Chasing Highs,https://www.youtube.com/watch?v=w6DukrYK5wQ,1160,2017,ALMA - Chasing Highs,a97f09f63a1fa4eaad6d6f12c1f1c8dea132c32d373e0c8f56902b633b10581d
Suomen muotoisen pilven alla,Arttu Wiskari,Suomen muotoisen pilven alla,https://www.youtube.com/watch?v=a22mUEFz5JU,1161,2018,Arttu Wiskari - Suomen muotoisen pilven alla (Lyriikkavideo),facd694fb9f24576ec91a98cbbb979ceb2e3f82d457b3fb00c50b2adf98b00ef
Tein kai lottorivini väärin,Maustetytöt,Kaikki tiet vievät Peltolaan,https://www.youtube.com/watch?v=RwSJuuFQ--g,1162,2019,Tein kai lottorivini väärin,62bbffd6c0aa700366be7f5f71d6c1c9fb9bbdf5f7e8440d13fc287f2abfaea4
Wherever You Will Go,The Calling,Camino Palmero,https://www.youtube.com/watch?v=iAP9AF6DCu4,560,2001,The Calling - Wherever You Will Go (First Video- in Tijuana),2e4b424d28513765b4e6fef4facf4d55cca5b66e2a5fd23ece1ed452c82e30d9
Vauhti kiihtyy (feat. Matti ja Teppo),Portion Boys,Vauhti kiihtyy (feat. Matti ja Teppo),https://www.youtube.com/watch?v=r-uc_Gxc88I,1164,2021,Vauhti kiihtyy,5a68b8b4e9e8a29c6e9de1a7f1c1e60562fc6ea873c886c2f70e28cb1f3421c5
Dark Side,Blind Channel,Dark Side,https://www.youtube.com/watch?v=rhQftHLS0gw,1165,2021,Dark Side,679ed69f340ad191075dd6e5a4a3d5a6913bc39bad7dc584240a994b5fda485d
Ram pam pam,BESS,Ram pam pam,https://www.youtube.com/watch?v=UhSmMU4RtNU,1166,2022,Ram pam pam,942e716b251a574bcd72a9015a3a5be958f7b62de2744a9c6f4e4dbbde4fc10f
Freestyler,Bomfunk MC's,In Stereo,https://www.youtube.com/watch?v=ymNFyxvIdaM,732,1999,Bomfunk MC's - Freestyler (Video Original Version),dcdabe06f278cb0c9c5c89056701e53f4d38785d0ede4abe3a0a3b2ddfb4634b
In the Shadows,The Rasmus,Dead Letters,https://www.youtube.com/watch?v=_ao2u7F_Qzg,631,2003,The Rasmus - In the Shadows (US Version),fe8aca94c0c5152f7412c933d8c92026496cb9c1a82dcd6dcf4a3c5220e9007b
Only You (And You Alone),The Platters,The Platters Golden Hits,https://www.youtube.com/watch?v=mHIlYtT5yQg,11,1955,Only you (and you alone) by The Platters Lyrics,65a507252a9d95953b2104fd5faeaefa4f6e70d674c9450202cc33880750bba7
Tutti Frutti,Little Richard,Here's Little Richard (Deluxe Edition),https://www.youtube.com/watch?v=L32usj28t9o,12,1955,Tutti Frutti,4c6479a4970706e1ce7d92fc13fb39decfa4509d52a66aca59939043a84855f3
Runaway,Del Shannon,Runaway with Del Shannon,https://www.youtube.com/watch?v=veRHPL9xFpY,31,1961,Runaway,32e6a40ce503b6cb6461382d2e412b6ec60c43f9884aa10415922c300c221828
Let's Twist Again,Chubby Checker,It's Pony Time/Let's Twist Again,https://www.youtube.com/watch?v=Frw7U5X8dhg,34,1961,Let's Twist Again,fb85ec2cb4e037501658ca07177fbe9fd7b209fa622ccc741dca601f8b54ab6e
Breaking Up Is Hard to Do,Neil Sedaka,Circulate (Expanded Edition),https://www.youtube.com/watch?v=2M584bP_FeE,37,1962,Breaking Up Is Hard to Do (Remastered),19b909dd6be28c410bb293e50e65fd83de7cf60b035a45b8809e05c27d14e41a
Unchained Melody,The Righteous Brothers,Just Once In My Life,https://www.youtube.com/watch?v=te51eVrFWEc,49,1965,Unchained Melody,7ea5c7195bc220a2dd539ced544d44fab35b3bf983b0913c30b7cfe1734bfb76
(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,Out Of Our Heads,https://www.youtube.com/watch?v=mrTHTxXKfCI,54,1965,The Rolling Stones - (I Can't Get No) Satisfaction (Mono Version),06df7ee6b515d70b5f905c927b86bc360b937866f90d0fa6dd6f5efd3485bbd3
Bohemian Rhapsody,Queen,Bohemian Rhapsody (The Original Soundtrack),https://www.youtube.com/watch?v=fJ9rUzIMcZQ,120,1975,Queen – Bohemian Rhapsody (Official Video Remastered),d0a3355898f0c40b637de792416161967e71d3c774fba2959df274808cffc0de
Eye of the Tiger,Survivor,Eye Of The Tiger,https://www.youtube.com/watch?v=btPJPFnesV4,170,1982,Survivor - Eye Of The Tiger (Official HD Video),592bbd4dd925652e0d9224abd42b329ea2892c9d459a856f18fcfb262dce81a0
Here I Go Again,Whitesnake,Whitesnake's Greatest Hits,https://www.youtube.com/watch?v=i3MXiTeH_Pg,173,1982,Whitesnake - Here I Go Again,488b16b49f43633c948b2235f6280a5b5aa6442caa2754c4e1105aa254080948
Missing You,John Waite,No Brakes,https://www.youtube.com/watch?v=Tg7vvmlrRzc,184,1984,Missing You,a6b929276e1d3c5e24c79f3a091de825c88e7684976fe863b5d226f801a8501d
Everybody Wants To Rule The World,Tears For Fears,Songs From The Big Chair (Super Deluxe Edition),https://www.youtube.com/watch?v=U4zA0xnBEJU,194,1985,Everybody Wants To Rule The World,c44258388b6db5294c909643de58bce3c225eb9d4a85f101f2efba08f4b92dad
Invisible Touch,Genesis,Turn It On Again - The Hits,https://www.youtube.com/watch?v=jpmiZ7zsHXY,200,1986,Genesis - Invisible Touch (Official Music Video),3087a130abb4bcd46b51c3f14ef58b5808103919c5fb5c38592a79ac48e022cd
Gonna Make You Sweat (Everybody Dance Now) (feat. Freedom Williams),C & C Music Factory,Super Hits,https://www.youtube.com/watch?v=4R6t7YWmM5E,231,1990,C & C Music Factory feat. Freedom Williams - Gonna Make You Sweat (Everybody Dance Now) (1990),44f9751a2d683b2ce98210064f6a3266898d77d6a6bae35b79020a4fd439e6df
Pop-Musiikkia,Nelja Baritonia,Poko 30v.,https://www.youtube.com/watch?v=_bBHgR2JngY,1118,1997,Pop-musiikkia,e55f24d60bc8d8879ff23598bfca7e21b33a4484ee4bab84fe402f71da9bf37c
Insane in the Brain,Cypress Hill,Black Sunday,https://www.youtube.com/watch?v=RijB8wnJCN0,250,1993,Cypress Hill - Insane In The Brain (Official HD Video),5b32284e8181a292b0e15d92a39ac213c631563d87e67b520e7458ebdae64e69
Laid,James,Laid,https://www.youtube.com/watch?v=g_qZ5B-yioU,258,1993,James - Laid (Version 2),d403288f0d5bfe11d01b136f72ad9116aea336df909fef612b0872d0703b117f
Common People - Full Length Version,Pulp,Different Class,https://www.youtube.com/watch?v=t7HNUVCv_X0,274,1995,Common People (Full Length Version),a376bff5fd58a42966d691211aa3f840129b1dd3c0afa5306f6035a432067aad
What Can I Do,The Corrs,Talk on Corners,https://www.youtube.com/watch?v=RibtqL3Y0Cg,308,1997,What Can I Do,d620682eece907f329432d46713c78b5fd34fb4e1b4684f423deeea86572d1d6
Porcelain,Moby,Play,https://www.youtube.com/watch?v=IJWlBfo5Oj0,324,1999,Moby - 'Porcelain' (Official Video),61d5a738e91dc40c0749af5058ec005dc3167b17c2d6c1326c352ab887075c55
