Card#,Artist,Title,Year,URL,Youtube-Title,Hashed Info
44,Daddy Yankee,Gasolina,2004,https://www.youtube.com/watch?v=GJP9ZTsgxJs,Daddy Yankee - Gasolina,22a487a0979f925f4ca09bbd3dd219d4b4acde83dc28999479202c4eb70cd3e0
45,Baccara,"Yes Sir, I Can Boogie",1977,https://www.youtube.com/watch?v=cakuOGmna7I,"Yes Sir, I Can Boogie",c5d138a42a7dab9fb35c3ddf59516a94f03df2a460bf48d00bc2a4b15902f19f
46,Taio Cruz,Dynamite,2010,https://www.youtube.com/watch?v=3MrY_BwLChk,Dynamite,a2b8481d052de6d691644b76ec57b0d8f7b72097c86254d95dfdf8e1dc4e80ca
47,Depeche Mode,Just Can't Get Enough,1981,https://www.youtube.com/watch?v=jON3_RHKSls,Just Can't Get Enough,88c59c1f949d6384e4de9279ae67463524dade8bd5f5130a59187a94e566407c
48,Baby Gabi & Lányi Lala,Őrült szerelem,2003,https://www.youtube.com/watch?v=_cgrXLluy_E,Őrült szerelem,4b7a753f5e777e3c5148b6efcec649adbd042aece166c6cddebc66181225de63
49,4F Club,Balatoni láz,1996,https://www.youtube.com/watch?v=Frk6jM3Rgcs,Balatoni láz,fcb733bc9f986f21050e93e099903e9b24e76361da7bd84e3853aa31a361f7ad
50,Caramel,Lélekdonor,2010,https://www.youtube.com/watch?v=cGvTIA3Jbs4,Lélekdonor,8640ba844d1c83b82e91afec666392c3a7dfc24213a2d2132432e61fc8743b15
51,Ben E. King,Stand By Me,1961,https://www.youtube.com/watch?v=eJ4i-QbXG54,Stand By Me,1ce2935b1df56e7a2a22ee8bc365b9039e9ce480ed5f409b5008ac16e8e610f3
52,ByeAlex és a Slepp,Így hagysz el,2020,https://www.youtube.com/watch?v=5fbr0_3qdMw,Így hagysz el,80f21971a116203ea22ade14e6341143f363f427a7e3db34bc75ee6749848d2d
53,Iggy Azalea feat. Charli XCX,Fancy,2014,https://www.youtube.com/watch?v=e--gtapgvmc,Fancy,13bf92262879707b676e2933efbda9c9cb33006ddbf7be4ab12e5d0a93001024
54,Harold Faltermeyer,Axel F,1985,https://www.youtube.com/watch?v=O7CaEWR_Kdk,Axel F,89e347b1d51c5c786d9717b9ef2bfe7b211dca1982f7cab8b9f3c45bba6b4fe7
55,Gloria Gaynor,I Will Survive,1978,https://www.youtube.com/watch?v=FHhZPp08s74,I Will Survive,eddb2a3378649fa90796322082a54cd47c60068f3fe2666a26427c423c1005d6
56,Lady Gaga,Bad Romance,2009,https://www.youtube.com/watch?v=QdaG6pDOz5A,Bad Romance,33de356fb967218788bda14667357cf1aa8530f865032295ddd348603a5bef67
57,TNT,Kicsi gesztenye,2001,https://www.youtube.com/watch?v=4oaBYB1Qr4M,Kicsi gesztenye (Radio Edit),7b178a1948355ff51cfe313a0169be20fa1d335f02d5d6fd9a1119f43e9aa1bf
58,Justin Timberlake,I Can't Stop The Feeling,2016,https://www.youtube.com/watch?v=6p3E7OMw52g,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",adee522ebe0c16f27f9fe3bfff5b1c8adbad6cdc7e2fc318cb34d2bf1e068168
59,Nox,Százszor ölelj még,2003,https://www.youtube.com/watch?v=ctY9PLx0NgA,Százszor ölelj Még!,86603e80b0161ec58f73b70acae9d978a5cd32e52a5b768af420be487269dc30
60,Luis Fonsi & Daddy Yankee,Despacito,2017,https://www.youtube.com/watch?v=FXovf5dsRTw,Despacito,b3927b47d207e2008747901bec1c654586489bdfc3c74fac034595ac2caed91f
61,Dolly Parton,9 to 5,1980,https://www.youtube.com/watch?v=E4OzdyxbOuU,9 to 5,41eeafb9f7abc7c2066fb5a1178959654ed3c54cb106b2e89320ea50a8f17eee
62,Color,Fényes kövek,1977,https://www.youtube.com/watch?v=LXoIDV6bXmU,Fényes kövek,080856d263b05484a28cb3441deaa173b16ba8538f5de49f91c34c67e9012b77
63,Cutting Crew,(I Just) Died In Your Arms,1986,https://www.youtube.com/watch?v=2wf-MNzSbpA,[I Just] Died In Your Arms,b656aa238deecb6a2177d12e837fd37a997353f40fd69a2ae87981df0b044972
64,Edda Művek,A kör,1985,https://www.youtube.com/watch?v=dkV3DLCQnMw,A kör,9e59fdab1a46c9b41c9a77dc684153c6ef2d21b01100cb21a2868e7a7376fcf5
65,J Balvin and Willy William,Mi Gente,2017,https://www.youtube.com/watch?v=uFuAHzHOGYQ,Mi Gente,a02896fb1232be5fe7d651846bd294e1224d0ae76a685e17c27c445577534d6b
66,Kelemen Kabátban,Nyári Dallam,2013,https://www.youtube.com/watch?v=x_BVrq9baRY,Nyári Dallam,b312d8d4da86e31db2934fc9c836ba836485edbb2d032627dcad7cd705300084
67,Greenday,American Idiot,2004,https://www.youtube.com/watch?v=VyV54YwPAkk,American Idiot,3f32cda774342f7071bb9cd5a42149198ac23ad4d8f3f6dce6e1e238bc22efed
68,Backstreet Boys,Everybody (Backstreet's Back),1997,https://www.youtube.com/watch?v=J47YIH1XCGE,Everybody (Backstreet's Back) (Radio Edit),11b7cacaf270f00004e05e8dc97006cb350f0c26c790c3b569adbe638012135f
69,Evanescence,Bring Me To Life,2003,https://www.youtube.com/watch?v=-eGM0IJc70Y,Bring Me To Life,14252e4d779f36b4cf722129cd9937b8e4b39f820a8df6588b63f1b7f1e6b91e
70,Belinda Carlisle,Heaven is a Place on Earth,1987,https://www.youtube.com/watch?v=8Va1IendJsA,Heaven Is a Place on Earth,3ac9bc9ba654bb55f9f13e7e55b119439146805c90bbabe3b02f963373a01635
71,Taylor Swift,Shake It Off,2014,https://www.youtube.com/watch?v=H59xVMF4zxE,Shake It Off (Taylor's Version),869ad99f4162833e2bd24d0a7ef239c53eb007f880cffbbdcb195df877c371d8
72,Nicki Minaj feat. Ariana Grande & Jessie J,Bang Bang,2014,https://www.youtube.com/watch?v=4bMhBtPZtv4,Bang Bang,26d4fd5e0e527bd63415fccead6aa21be54af8498a2ce0333fa76295290faf4e
73,Zoltán Erika,Szerelemre születtem,1987,https://www.youtube.com/watch?v=WHZKxd7NW3s,Szerelemre születtem,4e5ad962c004b135803b77bee1cfce32069944313ed8d6d156796d6ec7190a43
74,T. Rex,Bang A Gong (Get It On),1971,https://www.youtube.com/watch?v=cp1m4B3HRhg,Get It On,2bdf84d3ac9be44a179369c9ecaf84e84f216078ce3438415438266aa51110b3
75,Szandi,Tinédzser l'amour,1991,https://www.youtube.com/watch?v=bgG_vfEvHUo,Tinédzser l'amour,bb72ab0f9aad4879620c288e9d4193e0ee9f8157c2378c7ce9c18f35ffa66322
76,Elvis Presley,It's Now or Never,1960,https://www.youtube.com/watch?v=rgsKm8Ib8No,It's Now or Never,d19c65be2555dbfd71427fa41d73ad37314f714b9f0a8ea543e7b35a3ae66af2
77,Konyha,Földrevaló,2020,https://www.youtube.com/watch?v=u8huBYEwmtw,Földrevaló (Julinak),a3977c1924ff6d6919750960944e8eea87f2bd580f7a52a6cdfae17aaedca8bd
78,The Corrs,What Can I Do?,1998,https://www.youtube.com/watch?v=RibtqL3Y0Cg,What Can I Do,d620682eece907f329432d46713c78b5fd34fb4e1b4684f423deeea86572d1d6
79,Napoleon Boulevard,Júlia nem akar a földön járni,1987,https://www.youtube.com/watch?v=4ugOe7GXhGE,Júlia nem akar a földön járni,255347d086d7484e709e0a9fc664346f9e9ec198a64d51e99cac2dcc282548bb
80,George Micheal,Faith,1987,https://www.youtube.com/watch?v=ORJKRYao4x8,Faith (Remastered),c581f7d40b817c126a5476c5fadb0561688bab3cb3c36478969164aaf79dc673
81,Komár László,No Miss,1983,https://www.youtube.com/watch?v=CQHRVG7qeCo,No Miss,fc26c84097d06e492bffc15f0f3954f669f77061768aefbfb8bc7997f68dcfc3
82,B.o.B feat. Hayley Williams,Airplanes,2010,https://www.youtube.com/watch?v=pfEZW-1eDl8,Airplanes (feat. Hayley Williams of Paramore),294cb0af0a9a145fb95f87e02654a1dcc33f625c0f7f9810cf3dfd8708c7d0a3
83,Lesley Gore,It's My Party,1963,https://www.youtube.com/watch?v=_NpsUiKBEes,It's My Party,ba144059bbca38d2c3103f6bd26d02a280d1a828527a11b23213a7058fc963a4
84,Aerosmith,Cryin',1993,https://www.youtube.com/watch?v=J8zdiovUSGQ,Cryin',5a80ec470f40bfd13b6ab39a4cab52c929ad22bfec4fe5271ae308a0cf3006da
85,Halott Pénz feat. Hősök,Több türelem,2019,https://www.youtube.com/watch?v=-XhE-e3Xqtg,Több türelem,a4148422eeef29f400d8d4f1c4d2f2ad7d66b6f91b1c60ace1958ac318a387b5
86,Janicsák Veca,Labirintus,2011,https://www.youtube.com/watch?v=ls0q411_wnw,Labirintus,627ce92b8aa149a57d6b29e1f46ce1c4c54a80f1f8e4e22e4bd18dd74651d775
87,Groovehouse,Hajnal,2001,https://www.youtube.com/watch?v=u25VH1SG-WI,Hajnal,4b01f48adfc464107307fc5f3bcae559ae6b7bcd6320307b87167347503d905f
88,Rúzsa Magdolna,Hazatalálsz,2018,https://www.youtube.com/watch?v=n_crxOPvIRU,Hazatalálsz,3d041340f13f537a48d08cd0e2b948f40129d45c2cda606e50277f147270eaa4
89,Zámbó Jimmy,Dalban mondom el,2000,https://www.youtube.com/watch?v=G9ybS43f6uQ,Dalban mondom el,181643499f642140c393abcc4bbce180ace1d3b11b5622e3a4ab5230f2e1e668
