Card#,Artist,Title,URL,Hashed Info,Youtube-Title,Year
61,Léo Ferré,Avec le temps,https://www.youtube.com/watch?v=ZH7dG0qyzyg,7493e03ca95b942abc99a099b74cb77f086d170dccf8dd2a8f2a139da2d87fdc,"Léo Ferré : Avec le temps (enregistrement TSR, 1973)",1971
62,Percy Sledge,When a Man Loves a Woman,https://www.youtube.com/watch?v=EYb84BDMbi0,ba3e9e1ce1e30bfb8a71230e7a6fa86fc044abc509908cbf443c7011d5b2c257,Percy Sledge - When A Man Loves A Woman (Live),1966
63,Sister Sledge,We Are Family,https://www.youtube.com/watch?v=uyGY2NfYpeE,952ecbacd4c1b4f2d1fb31ff3b836c6aa619d76f19400b4fb74563457d2de126,Sister Sledge - We Are Family (Official Music Video),1979
64,Patrick Hernandez,Born To Be Alive,https://www.youtube.com/watch?v=9UaJAnnipkY,4a7126a0e1032e034f45a0ce3291fc3d1aa964425d73a44f6b940f2bbccc70de,Patrick Hernandez - Born to Be Alive - Official Video (Clip Officiel),1978
65,Louane,Avenir,https://www.youtube.com/watch?v=W6cp9FakTlo,16f2d591519c21ac8cc441317dd239ae9bdc66e1ad4e3421d4f9fc5cd94d1f5e,Louane - Avenir (Radio Edit Officiel),2014
66,Shakira,Waka Waka (This Time For Africa),https://www.youtube.com/watch?v=pRpeEdMmmQ0,7d869d04671b2337a1fe45f42046e5cebaad9e27ded35a9a30850337456eada9,Shakira - Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup™ Song),2010
67,Modjo,Lady (Hear Me Tonight),https://www.youtube.com/watch?v=mMfxI3r_LyA,3096adf8407c964784dc28ee88826fbc343fc05aec8c25feeaa9225c89713276,Modjo - Lady (Hear Me Tonight) (Official Video),2000
68,Dr. Alban,Sing Hallelujah!,https://www.youtube.com/watch?v=pKxJca7LLNM,7c36d4cb6937c3ef9b2d27cc3b653765c1082e71b2f36ccac3a0dab23e85cba0,Dr. Alban - Sing Hallelujah (Official HD Video),1993
69,Zebba,Tomber la chemise,https://www.youtube.com/watch?v=4y4D-evzDTo,3ed5063786472fafae9f018f2dc3d66deb38b6e807969b08fd0ef3ba12d233d4,Zebda - Tomber La Chemise,1999
70,Michel Sardou,Les lacs du Connemara,https://www.youtube.com/watch?v=bpEmjxobvbY,a2a8116d52426f1371f5db838dedce1d2cea88a52a8b48d59b1eb963a8084a3a,Michel Sardou - Les lacs du Connemara (Official lyric video),1981
71,Zaz,Je veux,https://www.youtube.com/watch?v=0TFNGRYMz1U,585fe9ab520787374064045abfb803b313ecf1891b84b1e7acb6850e4ea98511,ZAZ - Je veux (Clip officiel),2010
72,Adele,Set Fire To The Rain,https://www.youtube.com/watch?v=a2giXO6eyuI,d7e7693b5fb8cddf240d492b6b87da8bbc1418413b466ac097fd0b94913e7059,Set Fire to the Rain,2011
