Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title,ISRC
52,Shivers,Ed Sheeran,2021,https://www.youtube.com/watch?v=XE4S_eBI7WQ,ea5d176eac5bf779fd99113b6fff3f73204f11abfe83987d3508bf31ab3155bd,Ed Sheeran - Shivers [Official Behind The Scenes Video],GBAHS2100671
53,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris,2017,https://www.youtube.com/watch?v=ozv4q2ov3Mk,e183c98d31209b793d31df715e3b770098d0e2662c60844752588d5555ce875d,Calvin Harris - Feels (Official Video) ft. Pharrell Williams; Katy Perry; Big Se,GBARL1700772
54,I'm Still Standing,Elton John,1983,https://www.youtube.com/watch?v=ZHwVBirqD2s,054a3c33dd35bb1c11a90e0d6717962ea788486692382e30f457148fe3941af4,Elton John - I'm Still Standing,GBALX8300190
55,Stay With Me,Sam Smith,2014,https://www.youtube.com/watch?v=pB-5XG-DbAA,2a5a86be5b177b530773c83310cad0c4313a2e66ca13277edbff9708df63adf9,Sam Smith - Stay With Me (Official Music Video),GBUM71308833
56,greedy,Tate McRae,2023,https://www.youtube.com/watch?v=To4SWGZkEPk,cc49585bc172a9cfe4e87b745399c8fa884c0bc1e48b578b05bc156806c5f54b,Tate McRae - greedy (Official Video),USRC12301932
57,There Must Be an Angel (Playing With My Heart),Eurythmics,1985,https://www.youtube.com/watch?v=RCdneDxFRYQ,9a2f88553631f390f4cbb82c24098b440f67c33e0820c7915287357d0a54bcaf,There Must Be An Angel (Playing With My Heart) (Remastered),GBARL8500001
58,Together Again,Janet Jackson,1997,https://www.youtube.com/watch?v=7SXKHiPQPhk,ad0fa505a79ad942a2a50c6951f71076bcac203dcf2eb90f4795b2296e3e24d0,Janet Jackson - Together Again (Official Music Video),USVI29700014
59,1973,James Blunt,2007,https://www.youtube.com/watch?v=uWeqeQkjLto,56536b7f8e05f4b2ec3e90911755c76d12252bb244357c5ee1b9f1423da3c789,James Blunt - 1973 (Official Music Video),USAT20703782
60,It's Gonna Be Me,*NSYNC,2000,https://www.youtube.com/watch?v=GQMlWwIXg3M,7af73322d6659719db67dbee7b09d6529d4e93d0bf5c95f829f81c326c04e7e5,*NSYNC - It's Gonna Be Me (Official Video),USJI10000043
61,Bam Bam (feat. Ed Sheeran),Camila Cabello,2022,https://www.youtube.com/watch?v=-8VfKZCOo_I,c3c92d8b21f303ff287818d1d0e9f64f50b2fdedf6d0fc15f73f85fd2189376f,Camila Cabello - Bam Bam (Official Music Video) ft. Ed Sheeran,USSM12200047
