Card#,Title,Artist,Year,URL,ISRC,Youtube-Title,Hashed Info
39,Seinfeld,Jonathan Wolff,1989,https://www.youtube.com/watch?v=RWak0i_iqnM,USNLR2100313,Seinfeld Official Soundtrack | Seinfeld Theme - Jonathan Wolff | WaterTower,95e8c32c1472484275465e0b3f5819921a9fd7323f1346db4765d2df0bae21d6
40,Encanto (We Don't Talk About Bruno),Encanto Cast,2021,https://www.youtube.com/watch?v=o01l3sotf1Q,USWD12112915,"We Don't Talk About Bruno (From ""Encanto""/Audio Only)",6f39b70eed83c20836d83a97661469bbd181906c611cdda70dd5a02ef7d9e911
41,Phenomenon (Change the World),Eric Clapton,1996,https://www.youtube.com/watch?v=x11NA63gLDM,USRE19600049,Eric Clapton - Change The World,96fab192089304e5e81d0423bb11b640c6f5c8e5ab845471c025088ab85009aa
42,Who's That Girl,Madonna,1987,https://www.youtube.com/watch?v=r0qDBYiOBrc,USWB10002766,Madonna - Who's That Girl (Official Video),e32c75d5e3bb5a0900b4f33250bc9aedc23b63718ca8daea210c86a7288d6efe
43,Cabaret,Liza Minnelli,1972,https://www.youtube.com/watch?v=moOamKxW844,USMC17251142,"Cabaret, Liza Minnelli",c48fada1c87ef80b1f961b508037497331b615d4834b11c1d549eddaeafca8a4
44,Top Gun (Take My Breath Away),Berlin,1986,https://www.youtube.com/watch?v=Bx51eegLTY8,USSM19801613,Berlin - Take My Breath Away (Official Video - Top Gun),2c978270b4deabb52b9beee40d30baf88ed8be73b4de97e938dc2f3ea2fc9836
45,Terminator 2,Brad Fiedel,1991,https://www.youtube.com/watch?v=CnQm2_cAZvo,FRS439100034,Main Title Terminator 2 Theme (Remastered 2017),e128a952983a61233e8618c5f05afc0eee2073226ec5c011a17780ebc90f7976
46,Footloose,Kenny Loggins,1984,https://www.youtube.com/watch?v=ltrMfT4Qz5Y,USSM18400107,Kenny Loggins - Footloose (Official Video),e9193d8b370efe8ee4b1a12f66ced0abfda39d0abf1ac024a25c41870c94d954
47,Frühstück bei Tiffany (Moon River),Audrey Hepburn,1961,https://www.youtube.com/watch?v=0BfUDyvdTSE,FR6V82642499,Audrey Hepburn   Moon River Best Version,370cf6aca773fb1ca409fab97920675cc3bbb10ac7ffc5374dba5afdaec1420e
48,Sex And The City,Douglas J. Cuomo,1998,https://www.youtube.com/watch?v=ntr62qu1kd0,CAM460428414,Sex And The City - Main Theme,b4e8521f1dd318a72a726ea873cec0a3055e9cedbf9fcdc37a259e6cb1bc5190
49,"Zwei glorreiche Halunken - The Good, The Bad And The Ugly",Ennio Morricone,1966,https://www.youtube.com/watch?v=bBixD-rTB_c,USNPD0714249,"The Good, The Bad And The Ugly (2004 Remaster)",a9d0e0200d48f7724746120b1af8cc168a5814f3aaa4ebf3e8e8a7a438949a83
50,Pinocchio (When You Wish Upon a Star),Cliff Edwards,1940,https://www.youtube.com/watch?v=m4ifzcpMX18,USWD10220003,Cliff Edwards - When You Wish Upon A Star 1940 Ukulele Ike,eb2cc8709a5d745f5f6d59e004cd13a8262bdda69d32f8d1a1ce2dea2be3afbb
51,Yellow Submarine,The Beatles,1968,https://www.youtube.com/watch?v=m2uTFF_3MaA,GBAYE9901217,The Beatles - Yellow Submarine,92752c9bda2addaf407fe63e76bc15148c4e781c0104e2e3f2096d8e620a7a50
52,"Der Mann, der zuviel wusste (Que Sera Sera)","Doris Day, Frank DeVol",1956,https://www.youtube.com/watch?v=SdhAfMor9BM,USSM10028232,"Doris Day - Que Sera, Sera (Whatever Will Be Will Be)",463a5dafa888d2d3165dabc512db7a934c5d7037b69f36943fc3fe04a1388088
53,Batman,Danny Elfman,1989,https://www.youtube.com/watch?v=YoaU3kRFvLg,USWB10000074,The Batman Theme,e38894d8f45a4a5a34c375a634c37ee21fc4be64eb048a26cae35b4d39ecacc9
54,Armageddon (I Don't Want to Miss a Thing),Aerosmith,1998,https://www.youtube.com/watch?v=ujMxXOHJloI,USSM19801545,Aerosmith - I Don't Wanna Miss a Thing - Armageddon - Original Soundtrack | SPOILER ALERT!,2a351fb1a01f1bd7c663d7619835dd69f946ece9ba26cf1315f85bd6e3e054e6
55,Shaft,Isaac Hayes,1971,https://www.youtube.com/watch?v=Q429AOpL_ds,USFI87100103,Isaac Hayes - Theme From Shaft (1971),20cca9e97849f398eb47eb2d8c766865501e03b5b808c3588e66d33c0b71bf6f
56,Das Leben des Brian (Always Look On The Bright Side Of Life),Monty Python,1979,https://www.youtube.com/watch?v=SJUhlRoBL8M,GBAAA8900451,"Eric Idle - ""Always Look On The Bright Side Of Life"" - STEREO HQ",bc9b72d813830de61809dad01d796e3779babfc5495ac9954d83b380c488e42b
57,Game of Thrones,Ramin Djawadi,2011,https://www.youtube.com/watch?v=kROXpb3Gagg,US3M51109701,Ramin Djawadi - Main Title (Extended) [Game of Thrones],0a1e5c82919c3fc94ed8db5f33940e7e29b13a8a3e5ce8039a755227b4551638
58,The Mandalorian,Ludwig Göransson,2019,https://www.youtube.com/watch?v=rXJa1YcV6OQ,USWD11995118,Ludwig Göransson | Scoring The Mandalorian | Disney+,6e0d579f25b7e18db978fa2d860738969e1dfbf00b5f6a0ca77488a46b675e79
59,Akte X - The X Files,John Beal,1993,https://www.youtube.com/watch?v=Fy91jfscEsw,USY251513365,The X Files Theme,23532bd65095653391de577c054366d06fb6ba07d12d5a6531ccbde1eab77a21
60,Die Schöne und das Biest - Beauty and the Beast,Angela Lansbury,1991,https://www.youtube.com/watch?v=90b2R6yzIzE,USWD10220465,Beauty and the Beast (Remastered 2018),d61f405a04467e28d06453b600825f159f84bca4c110febcb85d35cbaa9eb94c
61,Moulin Rouge (El Tango De Roxanne),"José Feliciano,Ewan McGregor,Jacek Koman",2001,https://www.youtube.com/watch?v=MQXaH5zIgy0,USIR10110330,"Ewan McGregor, José Feliciano and Jacek Koman - El Tango De Roxanne",d792dad556801be4d976ff5fc2e9e3d6b55ae80dc456ea9fdbdd468c2c2d9cfe
62,Superman,John Williams,1978,https://www.youtube.com/watch?v=-yVV8ntoU78,USWB10203667,Theme from Superman (Concert Version),cf52c4dceffb1208ae0f0fc1e0f483226bb715e18be6417a4e7e281cd9010f79
63,Jenseits von Afrika (I Had A Farm),John Barry,1985,https://www.youtube.com/watch?v=ecPJxghJteg,US3M59781601,Main Title (I Had A Farm In Africa),a61b0d0bf20c1968b9a087eaac3cb6df5eb885f37b352f4d0db894601d5e1e0e
64,Wednesday,Danny Elfman,2022,https://www.youtube.com/watch?v=vhBHaz9SaLI,USLS52232101,Wednesday Main Titles,f6075867e67448b7d97d673810e9646b0a13754a85558a90ddf6b405723c45a6
65,Der letzte Tango in Paris,Gato Barbieri,1972,https://www.youtube.com/watch?v=_uQNkFmgyzI,ITC460500427,gato barbieri - last tango in paris,068a8506d3ed7b120f2978c2a7538e20d0382d803035194f93d67c9896a0b5b8
66,So wie wir waren - The Way We Were,Barbra Streisand,1973,https://www.youtube.com/watch?v=uBPQT2Ia8fU,USSM10024187,"Barbra Streisand ""The Way We Were""",5acd2b75460c7f4c9491ccb7bd15b4a262f410c57467bfa0a3a770d72326fd04
67,Twin Peaks,Angelo Badalamenti,1990,https://www.youtube.com/watch?v=pXrjMaVoTy0,USWB10102633,Angelo Badalamenti Twin Peaks Theme ( Instrumental) 1990,7cfb44c2439a9a51f91cabaae999fee992d9062f84b764dcc61bba8435a5ad65
68,"Buffy, im Bann der Dämonen - Buffy The Vampire Slayer",Nerf Herder,1997,https://www.youtube.com/watch?v=vb5QwA29UVs,UKDNQ1537213,Law & Order: Special Victims Unit - Theme from the TV Series,ce38333028ef15797414dcdad3531a33ae50c3e0d7ab00ac6cd9ac8e4cd1e840
69,L.A. Law - Law & Order,Dominik Hauser,1986,https://www.youtube.com/watch?v=IRXNVdiqMuU,QMT281201927,Law & Order: SVU Opening Title Sequence (Theme Song),50500f71dd8121fd0c25f4ca469c7107a86a0dafb56f5ad19a3c1b83e46c3f13
70,8 Mile (Lose Yourself),Eminem,2002,https://www.youtube.com/watch?v=_Yhyp-_hX2s,USIR10211559,Eminem - Lose Yourself [HD],4f789d03039f7b145d4749b65b200eea0097ab2ec445122584d521cc07a0ba7b
71,Fluch der Karibik (He's a Pirate),Klaus Badelt,2003,https://www.youtube.com/watch?v=s17XDrKuqc4,USWD10321341,He's a Pirate,e9e7d1132a025c04658aae1bdcc7d26450e232c6e5bc8e1a25dc05b57c0ed3d2
72,Drei Mädchen und drei Jungen - The Brady Bunch,"Sherwood Schwartz, Frank Devol",1969,https://www.youtube.com/watch?v=K5StTXQofqs,USMC17251498,The Brady Bunch Theme Song From All Seasons,eff7b7f4fdf6c3656749a2fb01a7c2047cd241e855b275fbf1c25f557d7c4b5b
73,Greatest Showman (This Is Me),Keala Settle,2017,https://www.youtube.com/watch?v=CjxugyZCfuw,USAT21704622,The Greatest Showman Cast - This Is Me (Official Lyric Video),dfd6a738d268fda2f9bbfd606ece5fbec4ef56879ac3d0ce07fcdd4d9fdd61a7
74,Forrest Gump (Forrest Gump Suite),Alan Silvestri,1994,https://www.youtube.com/watch?v=FcOt6mfjxeA,USLIC0601869,Forrest Gump Theme - Alan Silvestri,38be182b55e73ae270583c834e8a798b857736747cdc6c5e9a8956baa27fe279
75,Coyote Ugly (Can't Fight The Moonlight),LeAnn Rimes,2000,https://www.youtube.com/watch?v=ghdT6gfGUOI,USCRB0000703,LeAnn Rimes - Can't Fight The Moonlight (Lyrics),5eba82765c55883adea4e6190ea67e1b341b1c78c3f2592c25d9c87ca87b713f
76,How I Met Your Mother,Hey Beautiful,2005,https://www.youtube.com/watch?v=-DUV2oAL11A,AUUS00628905,How I met your Mother Intro,e900576dae6808f599e34cc901e4048e880ded2201a0342bca2ab15bccbaf170
77,Die Stunde des Siegers,Vangelis,1981,https://www.youtube.com/watch?v=BaWrchi_x6k,NLA028100010,Vangelis - Titles [Chariots of Fire] [1981],58b5f9dd640d4b9e59fd72d8c34ba6b457908a730e61ad10768f108709348148
78,Chicago (Cell Block Tango),Catherine Zeta-Jones,2002,https://www.youtube.com/watch?v=B1qQCFQCneA,USSM10213102,Chicago - Cell Block Tango,fd33638080e0096d221f55c3204b068e7511b6225e7a0381d5d032753854511d
79,Transformers (What I've Done),Linkin Park,2007,https://www.youtube.com/watch?v=8sgycukafqQ,USWB10700721,What I've Done (Official Music Video) [4K Upgrade] - Linkin Park,43670912e56e6e99ec422c41ebd1a9f72c8975e05a6017018bf35a77641e9b26
80,Bad Boys,Inner Circle,1995,https://www.youtube.com/watch?v=Zd68AthoNIw,USA2P1004784,Inner Circle - Bad Boys (Video original),acc7743bd9b4014512ce2c2ec727f333cde474130ba060c6b3c371aa55337936
81,The Twilight Saga: Breaking Dawn (A thousand years),Christina Perri,2008,https://www.youtube.com/watch?v=rtOvBOTyX00,USAT21102141,Christina Perri - A Thousand Years [Official Music Video],3ceaf48517fc35964f7b089d8462c72f03fd1d25f2c56cca58465d3b1a384588
82,Dallas,Dominik Hauser,1978,https://www.youtube.com/watch?v=C8UZTj7MXto,QMT281200490,Dallas - Theme from the TV Series - Season 1,8ea4f509f4157b1124dd47a7a86989f1bdbfe13fb0ec7989be59499174c31590
83,Der Herr der Ringe (The Shire),Howard Shore,2001,https://www.youtube.com/watch?v=IlmiRndxkU8,USRE10501559,The Shire,5e192afbcd50fde37ce226541178afb2c258c5f73ac7c7e201c3751015e0711e
84,Braveheart (For The Love Of A Princess),James Horner,1995,https://www.youtube.com/watch?v=fk8323r577w,GBBBA9570211,Braveheart Soundtrack -   For The Love Of A Princess,e3aded92dc240c846462a06020e2aac665ee75a417cba03df3e4381caa8384ef
85,Drei Engel für Charlie,Jack Elliot,1976,https://www.youtube.com/watch?v=gqdjG9cprag,QMT281201380,Charlie's Angels: Theme from the TV Series,484c71948f27effd34d3b6333dce19f5908e8cf7e1dc8ceca8c0525fc22b166a
86,Highlander - Es kann nur einen geben (Princes Of The Universe),Queen,1986,https://www.youtube.com/watch?v=b7dFnCZjick,GBUM71103763,Princes Of The Universe (Remastered 2011),02b09fdb916df4382002bde5585af792ad752e75ca0adaa58b9ef4843ed769f1
87,Mannequin (Nothing's Gonna Stop Us Now),Starship,1987,https://www.youtube.com/watch?v=3wxyN3z9PL4,USRC18702968,Starship - Nothing's Gonna Stop Us Now (Official Music Video) [HD],476274736a36152dc5aa5c580d8238b0fbbab1f9d998354e05b17ec3a9ec8ae8
88,Bonanza,"Ray Evans, Jerry Livingston",1959,https://www.youtube.com/watch?v=k9JGDq2jp5c,GBAJC0103664,RAY EVANS & JAY LIVINGSTON - BONANZA THEME - 1959,6078d90b1efd4a566b268fc33bd7594525cd37b79209683235f31ea36af47f28
89,Spider-Man (Hero),"Chad Kroeger, Josey Scott",2002,https://www.youtube.com/watch?v=TmSRMWw8Y_0,NLA320219756,Chad Kroeger feat. Josey Scott - Hero (2002) HQ,510f0c9ee5e5fb9facfb2028ba6c55ee8f844cb3a68724840b57b7dc9b13de52
90,Der Pate (The Godfather Waltz),Nino Rota,1972,https://www.youtube.com/watch?v=PPskYVBqdNw,USMC17251829,The Godfather - Main Title (The Godfather Waltz) - HQ - Nino Rota,288b80466a53a32a6e2262afe88e20f9faa11a7a658820dc004328b503c011b7
91,Notting Hill (When You Say Nothing At All),Ronan Keating,1999,https://www.youtube.com/watch?v=IobNcpiwpSc,GBAKW9900139,Ronan Keating - When You Say Nothing At All,c6147858cfd97c6e363f9d075de83c2d0e191e6fd249f578b5b06d67e2abdd0a
92,Succession,Nicholas Britell,2018,https://www.youtube.com/watch?v=LlgWqcHXD8w,US5941411059,Succession (Main Title Theme) - Nicholas Britell | Succession (HBO Original Series Soundtrack),c6e528a9ddcf2fe97a3d71af7a2407f089dcb484ddafcf20e31066c2f93d308f
93,Du sollst mein Glücksstern sein (Singin' In The Rain),Gene Kelly,1952,https://www.youtube.com/watch?v=swloMVFALXw,USNLR1200586,Singin' in the Rain (Full Song/Dance - '52) - Gene Kelly - Musical Romantic Comedies - 1950s Movies,bc429a8eced1cf740b0fe8c34105676be908d8b97e18a3c68f0752e4133446b6
94,Dexter,Rolfe Kent,2006,https://www.youtube.com/watch?v=KWnhuDZMkuc,US5940700171,Rolfe Kent - Dexter Main Title (Dexter Season 8 Showtime Original Series Soundtrack),74e95072efe208eda3d65b2c9f180f9efd88fcda4c3a54cc08dcae83084a1ce0
95,Slumdog Millionär (Jai Ho),A. R. Rahman,2008,https://www.youtube.com/watch?v=uinBpHT-AxM,INS180902304,AR Rahman - Jai Ho [Lyrical Video] - Slumdog Millionaire.,4b3edd5b9fe2afcbb28c625f5557ebf72a96027802cbf92468c3b271514d633e
96,Suicide Squad (Heathens),Twenty One Pilots,2016,https://www.youtube.com/watch?v=UprcpdwuwCg,USAT21601930,twenty one pilots: Heathens (from Suicide Squad: The Album) [OFFICIAL VIDEO],372c3f60086842e4c4ab4aa14058cc2b08a5ded699150cf476a018242200794d
97,The Office,Jay Ferguson,2005,https://www.youtube.com/watch?v=tFXjflvbBJo,QZ5FN1888675,The Office - Main Theme,4fa41ed3884f15599afce72ca8adc48bc770e42d183d4bbef0e0582f2eb6b88d
98,Matrix (Clubbed to Death),Robert D.,1999,https://www.youtube.com/watch?v=pFS4zYWxzNA,GBXWM1102584,clubbed to death - Matrix soundtrack,40e38752639f9d5cc1b028e2c3bd1dad913cb2a147dfccdf0b0c6311110d229e
99,Halloween - Die Nacht des Grauens,John Carpenter,1978,https://www.youtube.com/watch?v=pT4FY3NrhGg,TCAAR1072726,John Carpenter - Halloween 1978  (main Theme),7885f1efb23add1b71b50641d6a6099e8e31f03e51e6faa7a33e8c137862b6e6
100,The Crown,Hans Zimmer,2016,https://www.youtube.com/watch?v=sqgchhZcNP0,USJPL1600301,The Crown Main Title,fcf6585083ec41244a05149317b5812f736fe0d2a1456f078b548b34e1e83d20
101,Fame - Der Weg zum Ruhm,Irene Cara,1980,https://www.youtube.com/watch?v=o2jh7N7Fldk,USNLR1200531,Irene Cara - Fame 1980 (VHS 1982 Edit),6be73a025418ddcb1bf7fd5c29c02f228370dc3aed4bf43ce1eed145928dd62a
102,Harry Potter und der Stein der Weisen (Prologue),John Williams,2001,https://www.youtube.com/watch?v=UuPb1J_RCJM,USAT20109180,Prologue,13792db5d47bedcf9f9ac30f8c9619714ea77111db03d2b50fbc0c198da7fd2e
