Card#,Title,Artist,URL,Youtube-Title,Hashed Info
39,Never Ending Story,Limahl,https://www.youtube.com/watch?v=Gf1WT8VEZxk,Limahl - Never Ending Story - 1984,57c12f7d5a89ef1c0b629bc651fb7cdbaa4f37abb7bfa4a444c166f176aec9f5
40,Don't Call Me Up,Mabel,https://www.youtube.com/watch?v=9TQKyDD9Yig,Mabel - Don't Call Me Up (Official Video),ec2cec1298fae6ccfb7ea86dec53462d8a448c112563a3fea93f4b95f1fccffd
41,Under the Bridge,Red Hot Chili Peppers,https://www.youtube.com/watch?v=GLvohMXgcBo,Red Hot Chili Peppers - Under The Bridge [Official Music Video],0e49a9153d69eaf48a351487d70e5ef54902a5b31ffbed0df6bebb6c81cf4fc3
42,König von Deutschland,Rio Reiser,https://www.youtube.com/watch?v=BzGHhaMUqSQ,Rio Reiser - Koenig von Deutschland (Official Video),f658e3884bd31f09294493cff93803732da772fc1fad2655c08d257200d9e111
43,Upside Down,Diana Ross,https://www.youtube.com/watch?v=lZ9OP5dzkQg,Upside Down,3661cae4c0c8de97af4d4aafd6671f60b81f149128806375f90eb27fd0cd2ac2
44,Don't Speak,No Doubt,https://www.youtube.com/watch?v=TR3Vdo5etCQ,No Doubt - Don't Speak (Official 4K Music Video),ab70a9c27fac521ea1698c28dab1693c4c66186ce54dcea4d7d522fe4323fa9f
45,(I Can't Get No) Satisfaction,The Rolling Stones,https://www.youtube.com/watch?v=nrIPxlFzDi0,The Rolling Stones - (I Can't Get No) Satisfaction (Official Lyric Video),15fb46d476383b1a512073131c18e705b6ac717681c7ba46d0845aadd3531c99
46,Dilemma (feat. Kelly Rowland) Nelly,Kelly Rowland,https://www.youtube.com/watch?v=8WYHDfJDPDc,Nelly - Dilemma (Official Music Video) ft. Kelly Rowland,43166e3326f8717e68919a8326592949fc96433ef838f7aa139e91f52ec6c705
47,Lola,The Kinks,https://www.youtube.com/watch?v=LemG0cvc4oU,The Kinks - Lola (Official Audio),77706b32c3d363335c2d516bcb05bfead76e63b83587c2e89bd3204a17ee6e6f
48,Captain Jack,Captain Jack,https://www.youtube.com/watch?v=0Bb_w7nOBwg,Captain Jack - Captain Jack (Official Video 1995),88c923ee42eee36e99e21c0f962c8c4cb47e04f3d91388a8416944edb94e8b36
49,True Colors,Cyndi Lauper,https://www.youtube.com/watch?v=LPn0KFlbqX8,Cyndi Lauper - True Colors (Official HD Video),d8b45de030d6a7a282d19d3bccb3b7aeb69e018f7e177917513be9bed835df08
50,Hey Ya!,Outkast,https://www.youtube.com/watch?v=PWgvGjAhvIw,Outkast - Hey Ya! (Official HD Video),4fca31ce56f410ba15bd9be30bd46d8484f75d66deee2da930661c6509f70280
51,Guajira Guantanamera,Joseito Fernandez,https://www.youtube.com/watch?v=SVMyUUTfk80,Guantanamera (Versión Original),5bb070a10d1ad4fd8440177a55ee8fb041696a1d6ff4e399879bff319af3f99d
52,La Cintura,Alvaro Soler,https://www.youtube.com/watch?v=Eg4LUvUjUWI,Alvaro Soler - La Cintura,33443116ae0689d0c9cef0a7483b4573ee432c1de535cbcacc7649978642f505
53,Sick and Tired,Anastacia,https://www.youtube.com/watch?v=HzfyCuPVpCY,Anastacia - Sick and Tired (Video),171b39331315b12c17cd9ecb7f79dfb40ce7e2f227b54f5cfe386a47e3187dff
54,If You Leave Me Now,Chicago,https://www.youtube.com/watch?v=-9_d-sFhmRM,Chicago - If You Leave Me Now (Official Audio),1eabc29ea89ef03c558e4220ba9e799eed808640ca4bd8f01c0e87e47398aaad
55,"Siebzehn Jahr, blondes Haar",Udo Jürgens,https://www.youtube.com/watch?v=1_ReKoTY8eY,"Siebzehn Jahr, blondes Haar",784aa62e43a1db4252a3d7bc013e1de42eb4c889a120979100463f031179fb9f
56,Murder On The Dancefloor,Sophie Ellis-Bextor,https://www.youtube.com/watch?v=hAx6mYeC6pY,Sophie Ellis-Bextor - Murder On The Dancefloor (as featured in Saltburn),cd2dee55fd046b5a59838131f4b927fc5aa2a8b168ba6ed3f865561f0017fd58
57,Sing Hallelujah!,Dr. Alban,https://www.youtube.com/watch?v=pKxJca7LLNM,Dr Alban - Sing Hallelujah (Official HD),2e626d1e7d0f7b50d2604e836e828945dd4f2f25f247a4f42555368f0b237941
58,Set Fire to the Rain,Adele,https://www.youtube.com/watch?v=a2giXO6eyuI,Set Fire to the Rain,d7e7693b5fb8cddf240d492b6b87da8bbc1418413b466ac097fd0b94913e7059
59,Herz an Herz,Blümchen,https://www.youtube.com/watch?v=eGUsqIPurNQ,Blümchen - Herz an Herz (Official Video),a59d18b346b7e1e7ca64ae13bd3857448d0c74f03653fcee0a1da2f48f8754ff
60,Tage Wie diese,Die Toten Hosen,https://www.youtube.com/watch?v=j09hpp3AxIE,"Die Toten Hosen // „Tage wie diese"" [Offizielles Musikvideo]",a0b77c3b897be8bbb4e4506d1d384eb5b54c6b40e6a33abc2195a3637dd1c68b
61,Sweet Caroline,Neil Diamond,https://www.youtube.com/watch?v=4F_RCWVoL4s,Neil Diamond - Sweet Caroline (Audio),23a1e787e4963cad9614f3c7e4ea73051c124b4fc71a494553aa51ad1294b2ca
62,Do Wah Diddy Diddy,Manfred Mann,https://www.youtube.com/watch?v=1UingsUi0mI,Do Wah Diddy Diddy,462e7b973ae8eabf2af29d5af045c47986fc281f1fb78b1362d2ecb81176c884
63,Über sieben Brücken musst du gehn,Karat,https://www.youtube.com/watch?v=28MMYPoG8ag,Karat - Über sieben Brücken musst du geh'n (Die aktuelle Schaubude 17.05.1980),3df8d0053c7a1ad0b0cab4f8ef89ec17332acf379f11f4a9ba478b3612046564
64,Don't Leave Me This Way,Thelma Houston,https://www.youtube.com/watch?v=rUdw7V-FC_Q,Don't Leave Me This Way,f168a443fe058bb2d39cff030657bb0cd5406dfc8da7e22848cde7c03cd81210
65,Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,https://www.youtube.com/watch?v=96L5sV7rqX0,Can't Hold Us (feat. Ray Dalton),ec1d9d319ec12cc4aa53f735d26fbbcbd16401d41a1df1313a884549146bf178
