Card#,Title,Artist,URL,Hashed Info,Youtube-Title,Year,ISRC
83,Itsy Bitsy Teenie Weenie Honolulu Strand Bikini,Caterina Valente,https://www.youtube.com/watch?v=xxSPQGaGqd0,b3d47ca4c341af388a930d15c25641b0f9b94d871d444f2f7576e52fb3f72ef7,Itsy Bitsy Teenie Weenie Honolulu Strand Bikini,,DEU241266207
84,People Everyday,Arrested Development,https://www.youtube.com/watch?v=SvlcpJX4Dn0,747251dc5259e6c7f05321a9ea7886498a3f8b5acf0b3fc0002ed71d4ae5767f,"Arrested Development ‎– People Everyday - 3 Years, 5 Months And 2 Days In The Life Of",,USCH39200007
85,Sucker,Jonas Brothers,https://www.youtube.com/watch?v=CnAmeh0-E-U,ac2b43bb62f56fabefc43acd48eca459bb10f7088b046d8140ae73bc0ce0ba44,Jonas Brothers - Sucker (Official Video),,USUG11900515
86,California Gurls,Katy Perry,https://www.youtube.com/watch?v=F57P9C4SAW4,cf8a1f21e78abc911a8d28907cccb758938a1a3787b35448ff19194c34954d2a,Katy Perry - California Gurls (Official Music Video) ft. Snoop Dogg,,USCA21001135
87,Let's Get Loud,Jennifer Lopez,https://www.youtube.com/watch?v=Q91hydQRGyM,681dddcc1105cc2c615ea437576117b75e8016a5bcde4a8ba83fc870fdd6d976,Jennifer Lopez - Let's Get Loud (Official Video),,USSM19900597
88,One Kiss (with Dua Lipa),Calvin Harris,https://www.youtube.com/watch?v=DkeiKbqa02g,d40b723ed4603446bb7d71bc0892438151ba9045f9f5fccfef0f7a76eef07da7,"Calvin Harris, Dua Lipa - One Kiss (Official Video)",,GBARL1800368
89,Mambo No. 5 (a Little Bit of...),Lou Bega,https://www.youtube.com/watch?v=EK_LN3XEcnw,b6cdde39684fdfe231719f7fa2fc394713e2e867a57408acdf20dc7be047fe96,Lou Bega - Mambo No. 5 (A Little Bit of...),,DEH259900010
90,The Girl From Ipanema,Stan Getz,https://www.youtube.com/watch?v=v5DZ5clg-bg,1a7661c74bcb2a372faaf1f31d564d21dec83fd2922d7ddfc702bd8c97fe90b7,The Girl From Ipanema,,USUMG0000425
91,Talkin' Bout a Revolution,Tracy Chapman,https://www.youtube.com/watch?v=Xv8FBjo1Y8I,fbb784af7c18f1b4bd6d084463e2907545de529be1e637beaec9710efae69f44,Tracy Chapman - Talkin' About A Revolution (Official Music Video),,USEE10100547
92,Sonic Empire,Members Of Mayday,https://www.youtube.com/watch?v=hhWf2GuDZZc,f6dd231a314b2c3b01f8793a9d8d1b388dc5c9adc584c2d79353c5d706caedba,Sonic Empire (Short Mix),,DEE199700014
93,Senza Una Donna,Zucchero,https://www.youtube.com/watch?v=V69vs8JmXYM,238f58b9a0ab9a15538f718d5eb87743948a18360e0d7e338c63dcd47c59cf0c,Zucchero & Paul Young - Senza una donna (Without a woman),,IT9008701810
94,Don't Stop,Fleetwood Mac,https://www.youtube.com/watch?v=QV9JJmSCiI8,82d605ac08023604500c4b4fe9cd020b773965ec791863503f99bbfbf0ebd571,Fleetwood Mac - Don't Stop (Official Music Video) [4K Remaster],,USWB19900180
95,Coco Jamboo,Mr. President,https://www.youtube.com/watch?v=_Jl-QpJNKiQ,2fe9c44cdffc2283e6b7cf82e64cec92a6cc71cd5c0cc54ed9d1b1681232acc8,Coco Jamboo,,DEBS80500020
96,"Never Leave You (Uh Oooh, Uh Oooh)",Lumidee,https://www.youtube.com/watch?v=QhKj93rPIDo,ea7013bb984f795b8c73113fd136d5f136c7aea6987a95d929e32b1195081eed,"Never Leave You (Uh Oooh, Uh Oooh) [Official Music Video]",,USUR10300367
97,Ö La Palöma,Ö La Palöma Boys,https://www.youtube.com/watch?v=osiScTCh-Wc,3d8cc1f27c31158219c1575a336e21b1e48387b5ab21ee12aa4c9f1e6db6d859,Ö La Palöma (Stefans Funky Video Edit),,DEQ989900065
98,Jetzt oder nie,Maite Kelly,https://www.youtube.com/watch?v=y4cQeOguQCg,b6eeb14fabb75b3c2a5abd305832531d7e046669ba641e14d30c7ee205a7d650,Jetzt oder nie,,DEUM71602757
99,I.O.I.O.,B 3,https://www.youtube.com/watch?v=AuoMrxTWBlc,c9c1a14aa961ac3f6e8952a2148338518447f0decbda46e37aff28de7413e57a,I.O.I.O. (Radio Edit),,DEPI82100993
100,SOS,ABBA,https://www.youtube.com/watch?v=aKXAN-bcwRo,cfb64f1f66ab562bb293a4ed8cb4d615a2a420c60daae940c91a3d0f504c54c3,ABBA - SOS (Official Lyric Video),,SEAYD7501040
101,Balada,Gusttavo Lima,https://www.youtube.com/watch?v=JY25N0J5cIM,60734530787723ffacc077e99736d1399e7f2e80584ab25308f4000fc2a7e49d,Balada (Ao Vivo),,USA561215539
102,The Shoop Shoop Song (It's In His Kiss),Cher,https://www.youtube.com/watch?v=XpgbmIkyRDc,a2017f58ac52ac97f7a8a6afd55a36a715763ffa0cac212bdccc4763bf953430,The Shoop Shoop Song (It's In His Kiss),,USGF19031001
103,Umbrella,Rihanna,https://www.youtube.com/watch?v=CvBfHwUxHIk,d768184995db922d222e11cd5d244add75e75e88986ad570056a90bdf309a8d4,Rihanna - Umbrella (Orange Version) (Official Music Video) ft. JAY-Z,,USUM70731242
104,Samba de Janeiro,Bellini,https://www.youtube.com/watch?v=qm3vCvNGQZI,91d477f2cfe3def08108f0ff8c6ddd9fa220c6bd5d1f348fc94d46b7daa31f67,Samba de Janeiro (Radio Edit),,DEG129700451
105,Stop! In The Name Of Love,The Supremes,https://www.youtube.com/watch?v=une981B7Q4Y,196ea42ba850705727970536e85c7ca7585cbb38353198d01630c73ada9fa64f,The Supremes - Stop! In The Name Of Love (Lyric Video),,USMO16500288
106,Voyage voyage,Desireless,https://www.youtube.com/watch?v=NlgmH5q9uNk,ba39c8b068431f6ce71548b76d90d131036dea9c6713daacc397a00f8e81b41e,Desireless - Voyage Voyage (Official HD Video),,DEQ858600201
107,The Ketchup Song (Aserejé),Las Ketchup,https://www.youtube.com/watch?v=V0PisGe66mY,2d2eaddd42a084ac2fc68b52eb9eb8c8e74e38bebcb6a9c166b976b5ac46bc88,Las Ketchup - The Ketchup Song (Asereje) (Spanish Version) (Official Video),,ES5110204224
108,Vamos a la Playa,Righeira,https://www.youtube.com/watch?v=x0OMFm8FO90,7f764d225f1487a00ca43b9a6daed0dd0a3ec9758c01ca787405dadd762dc55d,Vamos a la Playa (1983),,IT0728300001
109,Macarena,Los Del Rio,https://www.youtube.com/watch?v=zWaymcVmJ-A,cefc852d66116207c871db37af9d3107f75881966d00b58068fa63d9ab85019c,Los Del Rio - Macarena (Bayside Boys Remix),,ES5109500538
110,Summer Wine,Nancy Sinatra,https://www.youtube.com/watch?v=yZYM8YYYfL4,468c34a603f5c2cdfda17e9e86d49b93d3f9916124ed5a42ee10e0cc4adfcadf,Summer Wine,,USASE0510168
111,"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,https://www.youtube.com/watch?v=DtVBCG6ThDk,f007231858b97664677acf57bd39c62ef6bdd260a8f801295f9f3a7a3061a272,Elton John - Rocket Man (Official Music Video),,GBAMB7200006
112,Dance The Night,Dua Lipa,https://www.youtube.com/watch?v=OiC1rgCPmUQ,e03b5759018a937fafb8d0eb5e326bca13e6a150adb4164dbac38106d4555667,Dua Lipa - Dance The Night (From Barbie The Album) [Official Music Video],,USAT22305730
113,One Night Stand,Capital Bra,https://www.youtube.com/watch?v=SSbnQpiDawY,4474f1f8bf3fbe113ca8fec9ca3e3a7cc08eb7524f38398dcf2f65cae653895d,One Night Stand,,DEWS21700051
114,Sunny,Bobby Hebb,https://www.youtube.com/watch?v=J-5xGXpNt74,8871298e8b4fb0beadca14bdd13a072f26292efd95a62d5eaf27d549cf619cef,Sunny,,USPR39402093
115,Ti Amo,Pietro Lombardi,https://www.youtube.com/watch?v=dp-RIi-jous,b473b7d2eab1b8d699828499a1c3598420a094a52f834872fc26931525f31c32,Pietro Lombardi – Ti Amo (prod. by Stard Ova)| Official Music Video,,DEUM72115879
116,Spirit In The Sky,Norman Greenbaum,https://www.youtube.com/watch?v=RUh6u7wJ3Ns,01037e861ebcf889069d52089896e06644549239d6d94d1c433df0671a88bfca,Spirit in the Sky,,USRE19600416
