Card#,Title,Artist,URL,Hashed Info,Youtube-Title,Year
118,Polonase Blankenese,Gottlieb Wendehals,https://www.youtube.com/watch?v=XSHWkFi2Vcw,,,1981
119,Schenk' mir diese eine Nacht,Brunner & Brunner,https://www.youtube.com/watch?v=qtB-8REgBQo,,,1993
120,Sieben Fässer Wein,Roland Kaiser,https://www.youtube.com/watch?v=lhf6EAe1CjM,,,1977
121,Ich bin frei,Franziska Wiese,https://www.youtube.com/watch?v=xrZ5S3Lfmx8,,,2016
122,Sa-Lo-Me,Achim Reichel
123,Aber sonst geht's mir gut,Alex Parker
124,Radio Zuckerhut,Wind
125,Wenn du denkst du denkst dann denkst du nur du denkst,Juliane Werding
126,Goethe war gut,Rudi Carrell
127,Perfekte Welle,Juli
128,An Der Nordseeküste,Klaus & Klaus
129,Die Schwarze Barbara,Heino
130,Blau blüht der Enzian,Heino
131,300 PS (... Auto),EAV (Erste Allgemeine Verunsicherung)
132,"Hey Boss, ich brauch mehr Geld",Gunter Gabriel
133,Ciao D'Amore,Klostertaler
134,Solang wir lieben,Simone
135,Tür an Tür mit Alice,Howard Carpendale
136,Verlier sie nie,Michael Wendler
137,Albany (feat. Roger Whittaker),"DJ Herzbeat, Roger Whittaker"
138,"Einmal hin, einmal her",Sarah-Jane
139,"Alles hat ein Ende, nur die Wurst hat zwei (Krause und Ruth)",Stephan Remmler
140,Viel zu oft,Simone
141,Joana,Roland Kaiser
142,Was geht hier ab,voXXclub
145,Amsterdam,Axel Fischer
144,"Saufen morgens, mittags, abends",Ingo ohne Flamingo
145,"Emmylou, Emmylou" Truck Stop
146,Maschen-Draht-Zaun,Stefan Raab
147,Das erste Mal tat's noch weh (Les histoires d'amour),"Stefan Waggershausen, Viktor Lazlo"
148,An der Copacabana,EAV (Erste Allgemeine Verunsicherung)
149,Etwas für die Ewigkeit,Claudia Jung
150,I lass di nimmer aus,Relax
151,La Luna Blu,Monika Martin
152,Prinzessin,Michael Wendler
153,Griechischer Wein,Udo Jürgens
154,Die Gefühle haben Schweigepflicht,Andrea Berg
155,Die rote Sonne von Barbados,Die Flippers,https://www.youtube.com/watch?v=9mUg9EReVuk,8d349134c17c9cab7a2ceeff9afed3e73be97e1be81bb68c1e4d6e525f0baf40,Die rote Sonne von Barbados,1986
156,Es fährt ein Zug nach Nirgendwo,Christian Anders,https://www.youtube.com/watch?v=haIgciQVN-0,446e7f0b3faf00d85ad788de0637de7ef993152e7e02c8b0310c7e3b70808452,Es fährt ein Zug nach nirgendwo,1972
157,Der Sonne entgegen,Ben Zucker,https://www.youtube.com/watch?v=Vu403ZAEtxE,a16dfea2bb2951445b9e0e326cae44eb283429c239833a853e4fd09e9cd9fada,Ben Zucker - Der Sonne entgegen,2018
158,Rausch,Helene Fischer,https://www.youtube.com/watch?v=vVnTxZ6ppBU,c9e96220d6232d879ae02b16f04b41dd19d7ae515dab3d733a90a6ae882e4a5d,Rausch,2021
159,Mit dir werden Wunder noch wahr,Bernhard Brink
160,Blaue Lagune,"Anna-Carina Woitschack, Stefan Mross"
